Merge Sort,
Tamaño, Tiempo,
1000, 29,
1010, 7,
1020, 1,
1030, 1,
1040, 1,
1050, 1,
1060, 1,
1070, 1,
1080, 1,
1090, 1,
1100, 1,
1110, 1,
1120, 1,
1130, 1,
1140, 1,
1150, 1,
1160, 1,
1170, 0,
1180, 0,
1190, 0,
1200, 0,
1210, 1,
1220, 1,
1230, 1,
1240, 1,
1250, 1,
1260, 2,
1270, 1,
1280, 1,
1290, 1,
1300, 9,
1310, 1,
1320, 1,
1330, 1,
1340, 1,
1350, 0,
1360, 0,
1370, 1,
1380, 1,
1390, 1,
1400, 0,
1410, 1,
1420, 1,
1430, 1,
1440, 1,
1450, 1,
1460, 1,
1470, 1,
1480, 0,
1490, 1,
1500, 1,
1510, 0,
1520, 1,
1530, 1,
1540, 0,
1550, 1,
1560, 0,
1570, 1,
1580, 1,
1590, 1,
1600, 1,
1610, 1,
1620, 0,
1630, 0,
1640, 1,
1650, 1,
1660, 1,
1670, 1,
1680, 1,
1690, 0,
1700, 0,
1710, 1,
1720, 3,
1730, 1,
1740, 1,
1750, 1,
1760, 0,
1770, 4,
1780, 1,
1790, 1,
1800, 0,
1810, 1,
1820, 0,
1830, 1,
1840, 0,
1850, 1,
1860, 0,
1870, 1,
1880, 0,
1890, 1,
1900, 0,
1910, 1,
1920, 0,
1930, 1,
1940, 1,
1950, 0,
1960, 1,
1970, 0,
1980, 1,
1990, 0,
2000, 0,
2010, 1,
2020, 0,
2030, 1,
2040, 1,
2050, 1,
2060, 0,
2070, 1,
2080, 1,
2090, 1,
2100, 1,
2110, 1,
2120, 1,
2130, 1,
2140, 1,
2150, 1,
2160, 1,
2170, 1,
2180, 1,
2190, 1,
2200, 1,
2210, 1,
2220, 1,
2230, 0,
2240, 0,
2250, 0,
2260, 0,
2270, 1,
2280, 1,
2290, 1,
2300, 1,
2310, 1,
2320, 1,
2330, 3,
2340, 1,
2350, 1,
2360, 1,
2370, 0,
2380, 1,
2390, 1,
2400, 1,
2410, 0,
2420, 1,
2430, 1,
2440, 0,
2450, 1,
2460, 1,
2470, 0,
2480, 1,
2490, 1,
2500, 1,
2510, 0,
2520, 1,
2530, 1,
2540, 1,
2550, 1,
2560, 0,
2570, 0,
